Nome: PEDRO AFONSO,,,,,,,,,,,,
Codigo Estacao: A020,,,,,,,,,,,,
Latitude: -8.9686111,,,,,,,,,,,,
Longitude: -48.17722221,,,,,,,,,,,,
Altitude: 189.71,,,,,,,,,,,,
Situacao: Pane,,,,,,,,,,,,
Data Inicial: 2020-01-01,,,,,,,,,,,,
Data Final: 2020-12-31,,,,,,,,,,,,
Periodicidade da Medicao: Mensal,,,,,,,,,,,,
,,,,,,,,,,,,
Data Medicao,NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número),PRECIPITACAO TOTAL, MENSAL (AUT)(mm),PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB),TEMPERATURA MEDIA, MENSAL (AUT)(°C),VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s),VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)
2020-01-31,23,227,8,990,101344,26,496505,5,5,,767204,null
2020-02-29,20,312,2,990,358621,26,115948,4,6,,895115,
2020-03-31,22,326,2,990,307796,26,129167,5,3,,840995,
2020-04-30,13,129,8,990,880278,26,76375,4,9,,860278,
2020-05-31,4,72,6,991,596102,27,470296,4,,788172,,
2020-06-30,0,0,992,12222,26,771806,4,3,,989306,,
2020-07-31,1,,2,991,728763,26,190188,4,8,1,24597,
2020-08-31,0,0,990,911694,27,524866,4,8,,985081,,
2020-09-30,0,0,989,6025,29,432639,4,8,1,31667,,
2020-10-31,8,107,8,988,601747,28,70914,6,4,,983065,
2020-11-30,14,138,4,988,91125,27,33375,4,9,,803611,
2020-12-31,15,150,988,90914,26,910887,5,6,,599866,,
